Model,Gold_Initial,Gold_Final,Silver_Initial,Silver_Final,Bronze_Initial,Bronze_Final,Total_Initial,Total_Final,Team_Initial,Team_Final
claude-3-5-sonnet-20240620,89.6,87.58,87.08,85.23,85.57,79.53,85.91,81.21,34.54,32.24
claude-3-haiku-20240307,36.07,34.4,31.21,24.83,25,17.28,20.3,11.74,14.14,12.17
gemini-1.5-flash-001,65.77,59.56,62.75,46.48,59.73,40.6,52.18,29.87,21.38,23.36
gemini-1.5-pro-001,88.93,82.38,86.74,77.01,85.07,69.63,84.23,63.93,15.79,18.42
google/gemma-2-9b-it,41.11,38.93,34.06,32.72,33.72,30.37,21.48,19.63,22.04,15.13
gpt-3.5-turbo-0125,71.14,66.28,67.79,63.76,67.95,60.4,64.77,54.19,23.68,20.39
gpt-4-turbo-2024-04-09,92.28,88.76,90.44,82.21,87.92,70.47,86.74,67.28,33.22,25
gpt-4o-2024-05-13,88.59,83.39,84.73,80.03,81.38,72.65,79.7,68.46,38.16,34.21
gpt-4o-2024-08-06,88.93,87.92,83.72,83.05,80.87,79.19,80.54,78.69,39.8,37.83
gpt-4o-mini-2024-07-18,41.11,36.41,37.08,33.89,31.88,29.03,26.85,22.15,23.36,18.75
meta-llama/Meta-Llama-3.1-8B-Instruct,63.26,59.73,52.52,49.66,42.79,38.09,36.07,28.86,15.13,12.17
Qwen/Qwen2-7B-Instruct,14.93,13.93,14.6,13.59,9.73,8.05,4.7,5.54,13.49,15.13